robot_id,schedule_id,t,x,y,theta,v,w,target_node_id
A1,SingleRobotEnv:SingleRobot,0.251924753,0.156066193,0.604732483,-0.013959915,0.000000000,0.000000000,N10
A1,SingleRobotEnv:SingleRobot,0.539306164,0.156041626,0.604737793,-0.013934020,0.000000000,0.000000000,N10
A1,SingleRobotEnv:SingleRobot,0.805105925,0.156077332,0.604738098,-0.014321001,0.320788325,-0.074154938,N10
A1,SingleRobotEnv:SingleRobot,1.104425430,0.156058167,0.604738281,-0.014371542,0.343720178,-0.077222356,N10
A1,SingleRobotEnv:SingleRobot,1.342394590,0.156069397,0.604739624,-0.014428837,0.357556563,-0.078864777,N10
A1,SingleRobotEnv:SingleRobot,1.575685978,0.156052307,0.604751526,-0.014110616,0.365905382,-0.081250815,N10
A1,SingleRobotEnv:SingleRobot,1.799910545,0.179077255,0.603775513,-0.027402872,0.365659813,-0.022978512,N10
A1,SingleRobotEnv:SingleRobot,2.002732277,0.216819611,0.601863953,-0.138872882,0.344690839,0.424693929,N10
A1,SingleRobotEnv:SingleRobot,2.240361214,0.242421432,0.597834900,-0.190728233,0.353650648,0.712047941,N10
A1,SingleRobotEnv:SingleRobot,2.531873226,0.317316071,0.580029419,-0.216007045,0.362589113,0.984226350,N10
A1,SingleRobotEnv:SingleRobot,2.773223400,0.382668701,0.564027893,-0.150552135,0.329833927,0.900398764,N10
A1,SingleRobotEnv:SingleRobot,3.054968357,0.421232635,0.558063293,-0.210303365,0.339260037,1.172658148,N10
A1,SingleRobotEnv:SingleRobot,3.284297943,0.452616791,0.549793152,-0.245403638,0.324010770,1.401656775,N10
A1,SingleRobotEnv:SingleRobot,3.545214653,0.495271759,0.537226746,-0.202045027,0.333040576,1.353147285,N10
A1,SingleRobotEnv:SingleRobot,3.790667772,0.540216736,0.527086426,-0.152864418,0.314088063,1.243928257,N10
A1,SingleRobotEnv:SingleRobot,4.096396208,0.580770935,0.519800476,-0.124430049,0.324067885,1.113109366,N10
A1,SingleRobotEnv:SingleRobot,4.348141432,0.619025879,0.514782959,-0.187202537,0.290147089,1.337801980,N10
A1,SingleRobotEnv:SingleRobot,4.645853281,0.646040100,0.508616272,-0.234166439,0.292399296,1.407877702,N10
A1,SingleRobotEnv:SingleRobot,4.942926407,0.686504761,0.497695740,-0.192535204,0.262740924,1.316530764,N10
A1,SingleRobotEnv:SingleRobot,5.266132593,0.736197693,0.486505707,-0.129110143,0.278770979,1.008707230,N10
A1,SingleRobotEnv:SingleRobot,5.561006069,0.785191223,0.479564453,-0.081091642,0.229726225,0.814272624,N10
