robot_id,node_id,ETA
A1,N00,0.0
A1,N10,6.663594007492065
A1,N20,11.139522314071655
A1,N21,16.230250597000122
A1,N22,23.363315105438232
A1,N12,27.074952125549316
A1,N02,30.91775631904602
A1,N01,36.12024521827698
A1,N00,36.357643842697144
A1,N10,36.60906791687012
A1,N20,36.84711289405823
A1,N21,37.09465789794922
A1,N22,37.32978868484497
A1,N12,37.519792556762695
A1,N02,37.69515872001648
A1,N01,37.89588522911072
A1,N00,38.0820517539978
A1,N10,38.27760672569275
A1,N20,38.41731882095337
A1,N21,38.583693981170654
A1,N22,38.76073980331421
A1,N12,38.99410915374756
A1,N02,39.15153384208679
A1,N01,39.32528471946716
A1,N00,39.49266314506531
A1,N10,39.676311016082764
A1,N20,39.832162618637085
A1,N21,40.01734685897827
A1,N22,40.226845502853394
A1,N12,40.42719125747681
A1,N02,40.584062337875366
A1,N01,40.78352761268616
A1,N00,40.97333073616028
A1,N10,41.16554641723633
