robot_id,schedule_id,t,x,y,theta,v,w,target_node_id
A1,SingleRobotEnv:SingleRobot,1.161411047,0.096313591,1.499140869,0.028865869,0.000000000,0.000000000,N11
A1,SingleRobotEnv:SingleRobot,1.585182667,0.096302307,1.499130981,0.028584017,0.000000000,0.000000000,N11
A1,SingleRobotEnv:SingleRobot,1.908586264,0.096296669,1.499133667,0.028821445,0.400000000,-0.210275020,N11
A1,SingleRobotEnv:SingleRobot,2.206454754,0.096295753,1.499128540,0.028526085,0.400000000,-0.209402941,N11
A1,SingleRobotEnv:SingleRobot,2.540464640,0.114843933,1.499559814,0.006608803,0.399999807,-0.128893705,N11
A1,SingleRobotEnv:SingleRobot,2.798830748,0.190321243,1.494782471,-0.122440797,0.381345725,0.423305897,N11
A1,SingleRobotEnv:SingleRobot,3.047238827,0.247751068,1.485746582,-0.339521290,0.359368919,1.390776125,N11
A1,SingleRobotEnv:SingleRobot,3.309323549,0.288542480,1.469502686,-0.390773602,0.325507027,1.815844363,N11
A1,SingleRobotEnv:SingleRobot,3.611748695,0.347654785,1.442576294,-0.335876592,0.314980668,1.877949426,N11
A1,SingleRobotEnv:SingleRobot,3.903283596,0.404284180,1.421325684,-0.312601214,0.320147074,1.982156501,N11
A1,SingleRobotEnv:SingleRobot,4.215009212,0.435683014,1.410944214,-0.393497074,0.301423539,2.359533553,N11
A1,SingleRobotEnv:SingleRobot,4.574007988,0.476940735,1.392394775,-0.355100707,0.311622979,2.372734034,N11
A1,SingleRobotEnv:SingleRobot,4.957206488,0.565038940,1.361608398,-0.191321917,0.356203194,2.098307272,N11
A1,SingleRobotEnv:SingleRobot,5.275119305,0.617487366,1.350412720,-0.226413065,0.345801469,2.269711826,N11
A1,SingleRobotEnv:SingleRobot,5.561254978,0.656675659,1.347715942,-0.280895605,0.348763004,2.436161189,N11
A1,SingleRobotEnv:SingleRobot,5.839693546,0.706238647,1.328447876,-0.159163235,0.347465642,2.221822678,N11
A1,SingleRobotEnv:SingleRobot,6.104207993,0.749100525,1.321051025,-0.070161280,0.400000000,1.989492989,N11
A1,SingleRobotEnv:SingleRobot,6.440618992,0.805200439,1.315782227,-0.069838120,0.400000000,2.007380832,N11
A1,SingleRobotEnv:SingleRobot,6.721133709,0.859071289,1.314324219,-0.204549908,0.373254529,2.425151944,N11
A1,SingleRobotEnv:SingleRobot,6.984855413,0.934204163,1.302534790,-0.019756770,0.400000000,1.965280789,N11
