robot_id,schedule_id,t,x,y,theta,v,w,target_node_id
A1,SingleRobotEnv:SingleRobot,0.314226151,0.151169586,0.615422668,0.116184326,0.000000000,0.000000000,N10
A1,SingleRobotEnv:SingleRobot,0.595749617,0.151106918,0.615538879,0.118746072,0.000000000,0.000000000,N10
A1,SingleRobotEnv:SingleRobot,0.912150860,0.151132294,0.615487183,0.117604281,0.319306352,-0.733087258,N10
A1,SingleRobotEnv:SingleRobot,1.147252560,0.151132294,0.615487183,0.117604281,0.340248109,-0.744500969,N10
A1,SingleRobotEnv:SingleRobot,1.383655071,0.151164536,0.615426514,0.116454713,0.353087134,-0.746235454,N10
A1,SingleRobotEnv:SingleRobot,1.620483637,0.151179352,0.615428223,0.116009966,0.360941465,-0.747974302,N10
A1,SingleRobotEnv:SingleRobot,1.836347103,0.157211029,0.619042358,0.027294617,0.370892618,-0.443738196,N10
A1,SingleRobotEnv:SingleRobot,2.064529896,0.157211029,0.619042358,0.027294617,0.376723709,-0.412268890,N10
A1,SingleRobotEnv:SingleRobot,2.284808636,0.160068558,0.619967285,-0.007074090,0.381797084,-0.285874716,N10
A1,SingleRobotEnv:SingleRobot,2.519982815,0.251473923,0.609182190,-0.214896538,0.378655888,0.630775686,N10
A1,SingleRobotEnv:SingleRobot,2.704754829,0.384743347,0.568632446,-0.367579168,0.319836390,1.646802793,N10
A1,SingleRobotEnv:SingleRobot,2.984136820,0.433866882,0.547495056,-0.382551347,0.300785475,1.977247343,N10
A1,SingleRobotEnv:SingleRobot,3.265850782,0.472797577,0.530300293,-0.364837509,0.303657056,2.090819157,N10
A1,SingleRobotEnv:SingleRobot,3.524931669,0.524871216,0.509633972,-0.279057996,0.318070226,1.988351268,N10
A1,SingleRobotEnv:SingleRobot,3.782923937,0.569132568,0.496650635,-0.198734661,0.348766362,1.809774374,N10
A1,SingleRobotEnv:SingleRobot,4.056099653,0.625600830,0.483890625,-0.087189536,0.337528454,1.490072925,N10
A1,SingleRobotEnv:SingleRobot,4.303994179,0.678251282,0.477696533,-0.004072671,0.391418278,1.210363139,N10
A1,SingleRobotEnv:SingleRobot,4.572409391,0.726246460,0.477471252,0.069374790,0.400000000,0.891396303,N10
A1,SingleRobotEnv:SingleRobot,4.824596167,0.784236511,0.478446869,0.052327963,0.375092837,0.947040842,N10
A1,SingleRobotEnv:SingleRobot,5.142844677,0.838684692,0.481655487,0.096779326,0.400000000,0.729094469,N10
A1,SingleRobotEnv:SingleRobot,5.434739351,0.907101868,0.487986176,0.143380214,0.400000000,0.462215567,N10
A1,SingleRobotEnv:SingleRobot,5.704582930,0.981114258,0.502314545,0.188666909,0.400000000,0.128522176,N10
A1,SingleRobotEnv:SingleRobot,5.981946945,1.041830322,0.516366394,0.257167104,0.400000000,-0.306348558,N20
A1,SingleRobotEnv:SingleRobot,6.254717350,1.123491821,0.534213806,0.276307471,0.400000000,-0.588357948,N20
A1,SingleRobotEnv:SingleRobot,6.515505075,1.193000854,0.551557312,0.271412835,0.399999979,-0.774947766,N20
A1,SingleRobotEnv:SingleRobot,6.726507902,1.243741821,0.563119080,0.252608389,0.377821894,-0.817062929,N20
A1,SingleRobotEnv:SingleRobot,7.044653177,1.309846680,0.574045227,0.162421151,0.380116394,-0.565136024,N20
A1,SingleRobotEnv:SingleRobot,7.283078432,1.395868042,0.588546326,0.125007246,0.370966754,-0.507828819,N20
A1,SingleRobotEnv:SingleRobot,7.533247709,1.456140259,0.593801758,0.083919549,0.368999168,-0.393955133,N20
A1,SingleRobotEnv:SingleRobot,7.756951809,1.524687744,0.596981873,0.011004462,0.369405628,-0.184436942,N20
A1,SingleRobotEnv:SingleRobot,7.969745398,1.581840820,0.596666016,-0.029815955,0.322606338,0.003407606,N20
A1,SingleRobotEnv:SingleRobot,8.192362785,1.629895508,0.594331665,-0.077087223,0.320039311,0.109052998,N20
A1,SingleRobotEnv:SingleRobot,8.429787397,1.691115723,0.586220032,-0.100761417,0.323685913,0.381537476,N20
A1,SingleRobotEnv:SingleRobot,8.658879280,1.735521606,0.580695923,-0.130940155,0.270122228,0.560520248,N20
A1,SingleRobotEnv:SingleRobot,8.920686960,1.784508301,0.573295105,-0.145492145,0.265582139,1.781090111,N20
A1,SingleRobotEnv:SingleRobot,9.249914646,1.828551636,0.565536255,-0.135160435,0.189578795,1.958227121,N20
A1,SingleRobotEnv:SingleRobot,9.532102823,1.893745972,0.554078430,-0.057418673,0.141061189,3.558227132,N20
A1,SingleRobotEnv:SingleRobot,9.855586767,1.928612793,0.550718933,0.005023338,0.115358052,4.553812123,N20
A1,SingleRobotEnv:SingleRobot,10.129109144,1.956046509,0.545138672,0.416195121,0.130597718,3.781103660,N20
A1,SingleRobotEnv:SingleRobot,10.395160437,1.970056885,0.544546936,0.792151366,0.321527461,3.289514076,N21
A1,SingleRobotEnv:SingleRobot,10.688024759,1.979347168,0.548235168,1.011315158,0.371134090,2.808631470,N21
A1,SingleRobotEnv:SingleRobot,11.011332750,1.987859253,0.561318909,1.051370352,0.349809653,2.726637153,N21
A1,SingleRobotEnv:SingleRobot,11.356178761,2.021212036,0.619641724,1.138217053,0.311131196,2.668918427,N21
A1,SingleRobotEnv:SingleRobot,11.750701427,2.054704102,0.700329041,1.344618672,0.348185709,2.284044541,N21
A1,SingleRobotEnv:SingleRobot,12.067624092,2.068201172,0.758640686,1.501996350,0.399999994,1.901476464,N21
A1,SingleRobotEnv:SingleRobot,12.354434252,2.071770508,0.812579834,1.618040523,0.399999994,1.509975254,N21
A1,SingleRobotEnv:SingleRobot,12.635283947,2.070504395,0.861713867,1.651339841,0.400000000,1.255980750,N21
A1,SingleRobotEnv:SingleRobot,12.920022488,2.066454102,0.933730591,1.721542549,0.400000000,0.902735061,N21
A1,SingleRobotEnv:SingleRobot,13.251389503,2.059680176,0.990550476,1.770019125,0.397317977,0.733288131,N21
A1,SingleRobotEnv:SingleRobot,13.520942450,2.046847656,1.065147095,1.816059447,0.395915149,0.352751579,N21
A1,SingleRobotEnv:SingleRobot,13.806376219,2.037494873,1.107965332,1.843725626,0.400000000,-0.034828646,N21
A1,SingleRobotEnv:SingleRobot,14.124576807,2.020423340,1.178227783,1.875193879,0.386633273,-0.536847827,N21
A1,SingleRobotEnv:SingleRobot,14.388877392,2.001978760,1.240593506,1.871797770,0.367039884,-0.803441192,N21
A1,SingleRobotEnv:SingleRobot,14.704426289,1.986286011,1.291785522,1.848692103,0.299188426,-0.806188316,N21
A1,SingleRobotEnv:SingleRobot,15.027905941,1.971178467,1.358806152,1.813999601,0.263752118,0.248307492,N21
A1,SingleRobotEnv:SingleRobot,15.362565517,1.956854248,1.432197876,1.755122495,0.216294588,1.848307503,N21
A1,SingleRobotEnv:SingleRobot,15.630030155,1.951353394,1.477133789,1.744191365,0.252615752,3.448307517,N11
A1,SingleRobotEnv:SingleRobot,15.888767719,1.944648560,1.524158691,1.761372322,0.224383409,4.403238649,N11
A1,SingleRobotEnv:SingleRobot,16.176205397,1.938064331,1.561188354,1.836620115,0.168861252,4.358229261,N11
A1,SingleRobotEnv:SingleRobot,16.488269806,1.934726318,1.587746094,1.976827546,0.143290282,4.183890784,N11
A1,SingleRobotEnv:SingleRobot,16.787204742,1.931856934,1.609149292,2.407531741,0.185478222,3.396596299,N11
A1,SingleRobotEnv:SingleRobot,17.236729145,1.926399536,1.617716309,2.611214984,0.215481578,3.005593600,N11
A1,SingleRobotEnv:SingleRobot,17.629808903,1.905591919,1.630718140,2.706868599,0.239182848,2.828140677,N11
A1,SingleRobotEnv:SingleRobot,17.927562952,1.857372681,1.653361938,2.827377363,0.275420836,2.640919782,N11
A1,SingleRobotEnv:SingleRobot,18.307341099,1.813062378,1.668428711,2.930514868,0.344442218,2.443567544,N11
A1,SingleRobotEnv:SingleRobot,18.687833548,1.743991455,1.683307739,3.124390690,0.400000000,1.967367226,N11
A1,SingleRobotEnv:SingleRobot,19.054375648,1.670184204,1.685254272,-3.012756032,0.400000000,1.440684140,N11
