robot_id,node_id,ETA
A1,D01,0.0
A1,D02,3.0
A1,D03,6.0
A1,D13,13.0
A1,N00,21.24
A1,N60,38.24
A1,P1,43.24
A1,P12,46.24
A1,P1,49.24
A1,N60,54.24
A1,N6,58.24
A1,N7,64.24
A1,N10,73.24
A1,L2,78.24
A1,L23,85.24
A1,L2,92.24
A1,N10,97.24
A1,N7,106.24
A1,N6,112.24
A1,N0,129.24
A1,D13,137.49
A1,D03,144.49
A1,D02,147.49
A1,D01,150.49
