robot_id,schedule_id,t,x,y,theta,v,w,target_node_id
A1,SingleRobotEnv:SingleRobot,0.305061579,0.109007530,0.612908264,0.049395467,0.000000000,0.000000000,N10
A1,SingleRobotEnv:SingleRobot,0.617002010,0.109772583,0.611709534,0.021039779,0.387859396,-0.309999571,N10
A1,SingleRobotEnv:SingleRobot,0.921039581,0.109772583,0.611709534,0.021039779,0.399999990,-0.305534386,N10
A1,SingleRobotEnv:SingleRobot,1.352929115,0.109692101,0.611841309,0.024223635,0.400000000,-0.318685092,N10
A1,SingleRobotEnv:SingleRobot,1.638734579,0.241822601,0.612188171,-0.026551601,0.393534852,-0.130506911,N10
A1,SingleRobotEnv:SingleRobot,1.896467686,0.340737030,0.603627686,-0.142998358,0.382405790,0.420802342,N10
A1,SingleRobotEnv:SingleRobot,2.122965336,0.411289612,0.587548767,-0.261946713,0.366390209,1.082049351,N10
A1,SingleRobotEnv:SingleRobot,2.373421431,0.477936096,0.567111389,-0.272608766,0.354796384,1.370615656,N10
A1,SingleRobotEnv:SingleRobot,2.603553534,0.534954773,0.548976196,-0.216891477,0.334633669,1.349619906,N10
A1,SingleRobotEnv:SingleRobot,2.889428854,0.586020630,0.536990906,-0.172263672,0.346022324,1.284969956,N10
A1,SingleRobotEnv:SingleRobot,3.213130951,0.639535217,0.526232910,-0.129252986,0.367544376,1.217787503,N10
A1,SingleRobotEnv:SingleRobot,3.451640606,0.712486450,0.515861267,-0.083792617,0.328094362,1.121947758,N10
A1,SingleRobotEnv:SingleRobot,3.813460588,0.774015625,0.508896729,-0.044272874,0.347577797,1.030238252,N10
A1,SingleRobotEnv:SingleRobot,4.092816114,0.842997131,0.504422913,0.021112327,0.380115807,0.824604702,N10
A1,SingleRobotEnv:SingleRobot,4.368285894,0.902785828,0.505307098,0.079553765,0.399999993,0.567327879,N10
A1,SingleRobotEnv:SingleRobot,4.667395353,0.974702881,0.508653931,0.098642347,0.400000000,0.433177408,N10
A1,SingleRobotEnv:SingleRobot,4.973379374,1.042284668,0.516775879,0.159706147,0.400000000,0.103528710,N20
A1,SingleRobotEnv:SingleRobot,5.346685410,1.117379150,0.529159058,0.174969921,0.400000000,-0.104676369,N20
A1,SingleRobotEnv:SingleRobot,5.628093958,1.210475952,0.549123535,0.233864283,0.399999966,-0.550233203,N20
A1,SingleRobotEnv:SingleRobot,5.981977463,1.281143555,0.562858459,0.235134557,0.399999998,-0.724792337,N20
A1,SingleRobotEnv:SingleRobot,6.243598938,1.383350586,0.580577820,0.181879678,0.387735050,-0.679309321,N20
A1,SingleRobotEnv:SingleRobot,6.475567818,1.450664429,0.590912292,0.154349282,0.379835308,-0.658819480,N20
A1,SingleRobotEnv:SingleRobot,6.687808037,1.516974854,0.599590759,0.120316200,0.379528461,-0.641828994,N20
A1,SingleRobotEnv:SingleRobot,6.909834146,1.546625000,0.604574951,0.082449229,0.362226365,-0.521573569,N20
A1,SingleRobotEnv:SingleRobot,7.085474491,1.621045288,0.605343201,0.019869323,0.348685063,-0.358640591,N20
A1,SingleRobotEnv:SingleRobot,7.293386459,1.670891357,0.604946655,-0.003146384,0.290500665,-0.233018259,N20
A1,SingleRobotEnv:SingleRobot,7.497824907,1.719318848,0.603766541,-0.025804537,0.285559627,0.034104988,N20
A1,SingleRobotEnv:SingleRobot,7.724273443,1.768742188,0.601326233,-0.044113518,0.302517329,1.467777209,N20
A1,SingleRobotEnv:SingleRobot,7.971354008,1.805866821,0.598553955,-0.068928983,0.247779637,1.636299151,N20
A1,SingleRobotEnv:SingleRobot,8.267384529,1.867205811,0.592052979,-0.068956240,0.180931875,3.236299165,N20
A1,SingleRobotEnv:SingleRobot,8.510902882,1.922553955,0.586725464,-0.060366464,0.187397884,4.741756409,N21
A1,SingleRobotEnv:SingleRobot,8.738916636,1.967725464,0.582492737,-0.005943553,0.131324778,4.751041094,N21
A1,SingleRobotEnv:SingleRobot,8.965886354,1.991355591,0.578788330,0.240402872,0.140590058,4.407046966,N21
A1,SingleRobotEnv:SingleRobot,9.219586849,2.013183105,0.576088501,0.933120351,0.242734135,3.140203790,N21
A1,SingleRobotEnv:SingleRobot,9.517290354,2.026859863,0.586689514,1.517938570,0.349486908,1.545285772,N21
