run_id,robot_id,t_laptop,source_stamp,x,y,theta
run_001,duck2,83509.839483790,83509.831813523,0.136198013,0.591530334,0.020902967
run_001,duck2,83509.872938530,83509.865130235,0.136253693,0.591633972,0.021587440
run_001,duck2,83509.906377661,83509.898287478,0.136210907,0.591742798,0.023578580
run_001,duck2,83509.939781322,83509.933218443,0.136204926,0.591782227,0.024046494
run_001,duck2,83509.973202885,83509.965612331,0.136185150,0.591539307,0.021474913
run_001,duck2,83510.006635680,83509.998362669,0.136177139,0.591566833,0.021822801
run_001,duck2,83510.040052196,83510.033038569,0.136221970,0.591712341,0.023044447
run_001,duck2,83510.073453349,83510.065870856,0.136237015,0.591653259,0.022285890
run_001,duck2,83510.106886073,83510.098589639,0.136221405,0.591729431,0.023274202
run_001,duck2,83510.140272706,83510.131710353,0.136215271,0.591787842,0.024142054
run_001,duck2,83510.173695679,83510.165332544,0.136196899,0.591806458,0.024550152
run_001,duck2,83510.207190303,83510.198439527,0.136240387,0.591665710,0.022277322
run_001,duck2,83510.240617864,83510.2318667,0.136218155,0.591726257,0.023268994
run_001,duck2,83510.307441372,83510.273357238,0.136214645,0.591783325,0.024026537
run_001,duck2,83510.340882526,83510.306663575,0.136221832,0.591786072,0.024071731
run_001,duck2,83510.374261214,83510.339860229,0.136249878,0.591653198,0.021781204
run_001,duck2,83510.407659917,83510.373201519,0.136218842,0.591733826,0.023353227
run_001,duck2,83510.441103889,83510.406646092,0.136243866,0.591656982,0.021840486
run_001,duck2,83510.474488790,83510.43997064,0.136220901,0.591747803,0.023632571
run_001,duck2,83510.507911150,83510.473288484,0.136189377,0.591522766,0.020808144
run_001,duck2,83510.541303724,83510.506769504,0.136228271,0.591703064,0.022734305
run_001,duck2,83510.574719559,83510.54977273,0.136211761,0.591784119,0.024156042
run_001,duck2,83510.608119518,83510.583501629,0.136210083,0.591797424,0.024308826
run_001,duck2,83510.641571603,83510.615086569,0.136196930,0.591518066,0.021135069
run_001,duck2,83510.674969489,83510.648222227,0.136249008,0.591637817,0.021632883
run_001,duck2,83510.708373182,83510.682042991,0.136223495,0.591734314,0.023140808
run_001,duck2,83510.741811345,83510.715401673,0.136228088,0.591784302,0.023920276
run_001,duck2,83510.775223589,83510.749375099,0.136230881,0.591669067,0.022322301
run_001,duck2,83510.808660208,83510.78179901,0.136198364,0.591528625,0.021272312
run_001,duck2,83510.842077993,83510.815541238,0.136239182,0.591704346,0.022751778
run_001,duck2,83510.875487311,83510.84874757,0.136215347,0.591678833,0.022493948
run_001,duck2,83510.908889842,83510.881738952,0.136212692,0.591766479,0.023656151
run_001,duck2,83510.942340656,83510.923420901,0.136191650,0.591522339,0.021105591
run_001,duck2,83510.975717785,83510.94886359,0.136220139,0.591695496,0.022867819
run_001,duck2,83511.009127224,83510.990922161,0.136210526,0.591789612,0.023886706
run_001,duck2,83511.042555025,83511.023383178,0.136182648,0.591539673,0.021267060
run_001,duck2,83511.075987892,83511.057279361,0.136217331,0.591693970,0.022725279
run_001,duck2,83511.109420742,83511.090256796,0.136178192,0.591556824,0.021674397
run_001,duck2,83511.142826003,83511.12356582,0.136203003,0.591721008,0.023410688
run_001,duck2,83511.176304198,83511.156731636,0.136245102,0.591659241,0.021827573
