node_index,node_id,x,y,t_sched,t_actual,t_error,t_closest,d_min,reached,arrival_pose_index
0,N00,0.1126,0.5907,0.0,0.00013227300951257348,0.00013227300951257348,0.00013227300951257348,0.023622470706941665,True,0
1,N10,1.0126,0.5907,2.25,,,5.714207679004176,0.1902615543772791,False,
2,N11,1.0126,1.4907,4.5,,,13.033009758000844,0.3316453429179296,False,
3,N12,1.0126,2.3907,6.75,,,17.411759473005077,0.23682578966497045,False,
4,N22,1.9126,2.3907,9.0,22.391571391999605,13.391571391999605,37.36446491300012,0.1465797137849826,True,632
