robot_id,schedule_id,t,x,y,theta,v,w,target_node_id
A1,SingleRobotEnv:SingleRobot,0.259869337,0.176271011,1.558956299,0.067785500,0.000000000,0.000000000,N11
A1,SingleRobotEnv:SingleRobot,0.503250837,0.176284714,1.558965820,0.067605932,0.000000000,0.000000000,N11
A1,SingleRobotEnv:SingleRobot,0.755918741,0.176284714,1.558965820,0.067605932,0.327639512,-0.947727691,N11
A1,SingleRobotEnv:SingleRobot,1.007959366,0.176284714,1.558965820,0.067605932,0.363636726,-0.980194359,N11
A1,SingleRobotEnv:SingleRobot,1.251079798,0.176282257,1.558970459,0.067492340,0.381833437,-0.993337960,N11
A1,SingleRobotEnv:SingleRobot,1.513485432,0.176282074,1.558964844,0.067574369,0.390569218,-0.999482417,N11
A1,SingleRobotEnv:SingleRobot,1.797513008,0.176267181,1.558957397,0.067635676,0.394759722,-1.002437334,N11
A1,SingleRobotEnv:SingleRobot,2.059066296,0.176281235,1.558958374,0.067603637,0.396776311,-1.003662609,N11
A1,SingleRobotEnv:SingleRobot,2.387388468,0.176278549,1.558955322,0.067637011,0.397740805,-1.004383368,N11
A1,SingleRobotEnv:SingleRobot,2.643988371,0.315791443,1.526254517,-0.416579758,0.380551322,0.595616638,N11
A1,SingleRobotEnv:SingleRobot,2.928133965,0.372130920,1.496855103,-0.581109092,0.331751794,2.195615578,N11
A1,SingleRobotEnv:SingleRobot,3.214837074,0.412518127,1.466909058,-0.864816910,0.247741127,3.294994641,N11
A1,SingleRobotEnv:SingleRobot,3.512543678,0.440775574,1.430408325,-0.851931955,0.148517614,3.379361534,N11
A1,SingleRobotEnv:SingleRobot,3.810500383,0.478576111,1.386263062,-0.725721115,0.180737525,3.314432914,N11
A1,SingleRobotEnv:SingleRobot,4.076949835,0.505611176,1.357696777,-0.386345447,0.234170980,2.657235914,N11
A1,SingleRobotEnv:SingleRobot,4.353265762,0.511160034,1.354299927,-0.316485774,0.283407936,2.488333523,N11
A1,SingleRobotEnv:SingleRobot,4.647732019,0.549532043,1.341102051,-0.195736392,0.309610439,2.241404804,N11
A1,SingleRobotEnv:SingleRobot,4.953427553,0.594396851,1.330892456,-0.061340277,0.398493443,1.907954674,N11
A1,SingleRobotEnv:SingleRobot,5.227081776,0.654442078,1.327381470,0.079220150,0.400000000,1.365469594,N11
A1,SingleRobotEnv:SingleRobot,5.532478571,0.693140076,1.328413940,0.042851237,0.400000000,1.470744115,N11
A1,SingleRobotEnv:SingleRobot,5.812213659,0.742458252,1.328898560,-0.103510382,0.400000000,2.021751366,N11
A1,SingleRobotEnv:SingleRobot,6.092439413,0.800192688,1.320838867,-0.075416509,0.400000000,1.994753265,N11
A1,SingleRobotEnv:SingleRobot,6.413269997,0.870794250,1.314649536,-0.002973281,0.391327798,1.864507563,N11
A1,SingleRobotEnv:SingleRobot,6.708574295,0.934476562,1.313531006,-0.102655411,0.399999883,2.135034612,N11
A1,SingleRobotEnv:SingleRobot,6.987473488,0.987098877,1.305222656,-0.117945487,0.400000000,2.217960052,N11
A1,SingleRobotEnv:SingleRobot,7.250486135,1.052837524,1.297041382,-0.044399553,0.400000000,2.046404006,N21
A1,SingleRobotEnv:SingleRobot,7.553315163,1.111677612,1.293226318,0.000676394,0.399999978,1.979230282,N21
A1,SingleRobotEnv:SingleRobot,7.821260929,1.181186279,1.291168701,-0.062855656,0.400000000,2.155078160,N21
A1,SingleRobotEnv:SingleRobot,8.049312353,1.233145996,1.286478760,-0.010575113,0.400000000,2.018222892,N21
A1,SingleRobotEnv:SingleRobot,8.301851988,1.294800171,1.284785278,0.060369630,0.400000000,1.862194507,N21
A1,SingleRobotEnv:SingleRobot,8.541990995,1.354558472,1.287142090,0.028481274,0.400000000,1.996275089,N21
A1,SingleRobotEnv:SingleRobot,8.754218578,1.394185669,1.286437012,-0.028054232,0.360973650,2.247794250,N21
A1,SingleRobotEnv:SingleRobot,8.978395224,1.439491333,1.283599121,0.028464219,0.385107104,2.141749354,N21
A1,SingleRobotEnv:SingleRobot,9.195876360,1.489860107,1.283790039,0.066259580,0.335216475,2.129281521,N21
A1,SingleRobotEnv:SingleRobot,9.426763058,1.531909668,1.286035278,0.048043567,0.338158953,2.184477478,N21
A1,SingleRobotEnv:SingleRobot,9.676534653,1.573013794,1.287168457,-0.021872345,0.253170573,2.423997258,N21
A1,SingleRobotEnv:SingleRobot,9.928590775,1.611430176,1.285290039,-0.000314217,0.269084026,2.403136985,N21
A1,SingleRobotEnv:SingleRobot,10.171709538,1.662119263,1.284088867,0.072732212,0.241189665,2.265310662,N21
A1,SingleRobotEnv:SingleRobot,10.391358614,1.710200439,1.286016602,0.140372838,0.291630460,2.056519849,N21
A1,SingleRobotEnv:SingleRobot,10.675582886,1.731053101,1.288512817,0.127555203,0.280213911,2.049751503,N21
A1,SingleRobotEnv:SingleRobot,10.938670635,1.754310425,1.291579956,0.074995684,0.299917363,2.145630298,N21
A1,SingleRobotEnv:SingleRobot,11.173750877,1.770268677,1.292916748,0.041755448,0.268638253,2.209532444,N21
A1,SingleRobotEnv:SingleRobot,11.437849283,1.791180176,1.293406006,0.050888370,0.235265461,2.158824203,N21
A1,SingleRobotEnv:SingleRobot,11.717732430,1.820800659,1.293388916,0.082800068,0.200543152,2.021887079,N21
A1,SingleRobotEnv:SingleRobot,11.975701809,1.868238403,1.295600220,0.161879453,0.253851604,1.673590579,N21
A1,SingleRobotEnv:SingleRobot,12.241039991,1.900026489,1.299255249,0.211363160,0.256801493,1.222961443,N21
A1,SingleRobotEnv:SingleRobot,12.496267319,1.923398926,1.303828613,0.220422692,0.232058540,0.445815237,N21
A1,SingleRobotEnv:SingleRobot,12.707956076,1.942441650,1.308515503,0.157447333,0.069834348,-0.851877021,N21
A1,SingleRobotEnv:SingleRobot,12.943106890,1.954154297,1.310594238,0.125386833,-0.063727397,-1.395688498,N21
A1,SingleRobotEnv:SingleRobot,13.175234079,1.958552612,1.311319946,0.109692713,-0.100000000,-1.535404356,N21
A1,SingleRobotEnv:SingleRobot,13.384248257,1.955857300,1.312123047,0.056241892,-0.100000000,-1.369585918,N21
A1,SingleRobotEnv:SingleRobot,13.569745064,1.948898315,1.312174194,0.052130247,-0.100000000,-1.340167732,N21
A1,SingleRobotEnv:SingleRobot,13.784079552,1.935985840,1.311021973,0.071422148,-0.100000000,-1.415213769,N21
A1,SingleRobotEnv:SingleRobot,13.995888948,1.911651611,1.310195923,0.047192905,-0.100000000,-1.349371659,N21
A1,SingleRobotEnv:SingleRobot,14.215855837,1.881841797,1.311726440,-0.008114039,-0.100000000,-1.016147944,N21
A1,SingleRobotEnv:SingleRobot,14.474010706,1.858474487,1.313475220,-0.042547815,-0.100000000,0.480562052,N21
A1,SingleRobotEnv:SingleRobot,14.701605082,1.836124878,1.315722412,-0.071211769,0.000000000,0.000000000,N21
A1,SingleRobotEnv:SingleRobot,14.712399483,1.824300537,1.317506104,-0.079071627,0.000000000,0.000000000,N21
A1,SingleRobotEnv:SingleRobot,14.794797421,1.812123901,1.318905273,-0.078815759,0.000000000,0.000000000,N21
A1,SingleRobotEnv:SingleRobot,15.008422852,1.807963013,1.319335083,-0.079298058,0.000000000,0.000000000,N21
A1,SingleRobotEnv:SingleRobot,15.188967705,1.808024902,1.319333862,-0.079425836,0.000000000,0.000000000,N21
A1,SingleRobotEnv:SingleRobot,15.401316881,1.808021240,1.319344482,-0.079229551,0.000000000,0.000000000,N21
A1,SingleRobotEnv:SingleRobot,15.602365732,1.808029541,1.319342529,-0.079423039,0.000000000,0.000000000,N21
A1,SingleRobotEnv:SingleRobot,15.813438654,1.808034424,1.319338745,-0.079226991,0.000000000,0.000000000,N21
A1,SingleRobotEnv:SingleRobot,15.987662315,1.808030273,1.319335327,-0.079254261,0.000000000,0.000000000,N21
A1,SingleRobotEnv:SingleRobot,16.201850414,1.808072510,1.319398071,-0.082495021,0.000000000,0.000000000,N21
A1,SingleRobotEnv:SingleRobot,16.401115417,1.808049683,1.319288086,-0.079352969,0.000000000,0.000000000,N21
A1,SingleRobotEnv:SingleRobot,16.604123116,1.808048584,1.319283447,-0.079517687,0.000000000,0.000000000,N21
A1,SingleRobotEnv:SingleRobot,16.808188677,1.808031494,1.319297729,-0.079594030,0.000000000,0.000000000,N21
A1,SingleRobotEnv:SingleRobot,17.008619070,1.808044067,1.319283447,-0.079434617,0.000000000,0.000000000,N21
