t,v_cmd,omega_cmd,wL_cmd,wR_cmd,wL_meas,wR_meas,wL_raw,wR_raw,wheel_radius,axle_length,enc_ready
1.8752291202545166,0.11999999731779099,0.0,3.7735848213141816,3.7735848213141816,0.0,0.0,0.0,0.0,0.0318,0.1,0
1.915391445159912,0.11999999731779099,0.0,3.7735848213141816,3.7735848213141816,0.0,0.0,0.0,0.0,0.0318,0.1,0
1.9550890922546387,0.11999999731779099,0.0,3.7735848213141816,3.7735848213141816,0.0,0.0,0.0,0.0,0.0318,0.1,0
1.9954748153686523,0.11999999731779099,0.0,3.7735848213141816,3.7735848213141816,0.0,0.0,0.0,0.0,0.0318,0.1,0
2.0353996753692627,0.11999999731779099,0.0,3.7735848213141816,3.7735848213141816,0.0,0.0,0.0,0.0,0.0318,0.1,0
2.075392961502075,0.11999999731779099,0.0,3.7735848213141816,3.7735848213141816,0.0,0.0,0.0,0.0,0.0318,0.1,0
2.1154897212982178,0.11999999731779099,0.0,3.7735848213141816,3.7735848213141816,0.0,0.0,0.0,0.0,0.0318,0.1,0
2.1560375690460205,0.11999999731779099,0.0,3.7735848213141816,3.7735848213141816,0.0,0.0,0.0,0.0,0.0318,0.1,0
2.1950876712799072,0.11999999731779099,0.0,3.7735848213141816,3.7735848213141816,0.0,0.0,0.0,0.0,0.0318,0.1,0
2.235377073287964,0.11999999731779099,0.0,3.7735848213141816,3.7735848213141816,0.0,0.0,0.0,0.0,0.0318,0.1,0
2.27533221244812,0.11999999731779099,0.0,3.7735848213141816,3.7735848213141816,0.0,0.0,0.0,0.0,0.0318,0.1,0
2.3151943683624268,0.11999999731779099,0.0,3.7735848213141816,3.7735848213141816,0.0,0.0,0.0,0.0,0.0318,0.1,0
2.355132818222046,0.11999999731779099,0.0,3.7735848213141816,3.7735848213141816,0.0,0.0,0.0,0.0,0.0318,0.1,0
2.395338535308838,0.11999999731779099,0.0,3.7735848213141816,3.7735848213141816,0.0,0.0,0.0,0.0,0.0318,0.1,0
2.43526029586792,0.11999999731779099,0.0,3.7735848213141816,3.7735848213141816,0.0,0.0,0.0,0.0,0.0318,0.1,0
2.4754257202148438,0.11999999731779099,0.0,3.7735848213141816,3.7735848213141816,0.0,0.0,0.0,0.0,0.0318,0.1,0
2.5152297019958496,0.11999999731779099,0.0,3.7735848213141816,3.7735848213141816,0.0,0.0,0.0,0.0,0.0318,0.1,0
2.5551936626434326,0.11999999731779099,0.0,3.7735848213141816,3.7735848213141816,0.0,0.0,0.0,0.0,0.0318,0.1,0
2.595473289489746,0.11999999731779099,0.0,3.7735848213141816,3.7735848213141816,0.0,0.0,0.0,0.0,0.0318,0.1,0
2.6350409984588623,0.11999999731779099,0.0,3.7735848213141816,3.7735848213141816,0.0,0.0,0.0,0.0,0.0318,0.1,0
2.6751813888549805,0.11999999731779099,0.0,3.7735848213141816,3.7735848213141816,0.0,0.0,0.0,0.0,0.0318,0.1,0
2.716658115386963,0.11999999731779099,0.0,3.7735848213141816,3.7735848213141816,0.0,0.0,0.0,0.0,0.0318,0.1,0
2.7551307678222656,0.11999999731779099,0.0,3.7735848213141816,3.7735848213141816,0.0,0.0,0.0,0.0,0.0318,0.1,0
2.795227289199829,0.11999999731779099,0.0,3.7735848213141816,3.7735848213141816,0.0,0.0,0.0,0.0,0.0318,0.1,0
2.8353190422058105,0.11999999731779099,0.0,3.7735848213141816,3.7735848213141816,0.0,0.0,0.0,0.0,0.0318,0.1,0
2.8762669563293457,0.11999999731779099,0.0,3.7735848213141816,3.7735848213141816,0.0,0.0,0.0,0.0,0.0318,0.1,0
2.915266752243042,0.11999999731779099,0.0,3.7735848213141816,3.7735848213141816,0.0,0.0,0.0,0.0,0.0318,0.1,0
2.955317497253418,0.11999999731779099,0.0,3.7735848213141816,3.7735848213141816,0.0,0.0,0.0,0.0,0.0318,0.1,0
