robot_id,schedule_id,t,x,y,theta,v,w,target_node_id
A1,SingleRobotEnv:SingleRobot,0.278426409,0.099231827,1.504613159,0.059539350,0.000000000,0.000000000,N11
A1,SingleRobotEnv:SingleRobot,0.503451586,0.099242416,1.504611450,0.059640135,0.000000000,0.000000000,N11
A1,SingleRobotEnv:SingleRobot,0.748791218,0.099231514,1.504610718,0.059745338,0.400000000,-0.401017595,N11
A1,SingleRobotEnv:SingleRobot,0.973753929,0.099229744,1.504608032,0.059612709,0.400000000,-0.401018161,N11
A1,SingleRobotEnv:SingleRobot,1.201829195,0.099235405,1.504613525,0.059763086,0.400000000,-0.401661398,N11
A1,SingleRobotEnv:SingleRobot,1.445589542,0.113388290,1.505136230,0.033611278,0.399999662,-0.305548962,N11
A1,SingleRobotEnv:SingleRobot,1.698016644,0.113388290,1.505136230,0.033611278,0.399999613,-0.295276928,N11
A1,SingleRobotEnv:SingleRobot,1.938133717,0.152113586,1.505578247,-0.003493271,0.393296345,-0.155784916,N11
A1,SingleRobotEnv:SingleRobot,2.148666859,0.190837082,1.504018799,-0.043002914,0.380314744,0.025571872,N11
A1,SingleRobotEnv:SingleRobot,2.381106377,0.254320435,1.497861572,-0.116923538,0.374061437,0.388851813,N11
A1,SingleRobotEnv:SingleRobot,2.613186836,0.355822693,1.481077271,-0.209626346,0.356675248,0.934168001,N11
A1,SingleRobotEnv:SingleRobot,2.892933369,0.528604248,1.428316284,-0.338387813,0.328087507,1.929700235,N11
A1,SingleRobotEnv:SingleRobot,3.186961889,0.603085632,1.399534912,-0.314606837,0.328780738,2.207144337,N11
A1,SingleRobotEnv:SingleRobot,3.465314388,0.655369995,1.380697266,-0.262839855,0.343282513,2.187030382,N11
A1,SingleRobotEnv:SingleRobot,3.765543938,0.714201538,1.365296997,-0.158416818,0.379049436,1.972504291,N11
A1,SingleRobotEnv:SingleRobot,4.016429663,0.791331726,1.353088989,-0.038707494,0.355892815,1.628609875,N11
A1,SingleRobotEnv:SingleRobot,4.295909643,0.857901184,1.348874634,0.060602230,0.388643861,1.252772558,N11
A1,SingleRobotEnv:SingleRobot,4.597122669,0.916890625,1.351915161,0.139272786,0.400000000,0.854564890,N11
A1,SingleRobotEnv:SingleRobot,4.852323771,0.978715149,1.360789673,0.224428066,0.400000000,0.395505597,N11
A1,SingleRobotEnv:SingleRobot,5.127311230,1.058793213,1.377390503,0.284420281,0.400000000,-0.033611844,N21
A1,SingleRobotEnv:SingleRobot,5.466711998,1.121796875,1.394713623,0.296889491,0.400000000,-0.285851458,N21
A1,SingleRobotEnv:SingleRobot,5.731406689,1.221541382,1.421761353,0.286500375,0.400000000,-0.497307628,N21
A1,SingleRobotEnv:SingleRobot,5.987162352,1.275077759,1.435641724,0.273027881,0.400000000,-0.585304680,N21
A1,SingleRobotEnv:SingleRobot,6.139722347,1.333655029,1.450649536,0.251018318,0.338580244,-0.635370273,N21
A1,SingleRobotEnv:SingleRobot,6.309954166,1.381000122,1.462680054,0.241217276,0.325031984,-0.717238291,N21
A1,SingleRobotEnv:SingleRobot,6.485013962,1.417448608,1.471039551,0.217858778,0.268636199,-0.707693764,N21
A1,SingleRobotEnv:SingleRobot,6.701421976,1.473234985,1.480830322,0.167634558,0.250017200,-0.608396999,N21
A1,SingleRobotEnv:SingleRobot,6.883753061,1.515598267,1.487262451,0.134036614,0.230778570,-0.528648833,N21
A1,SingleRobotEnv:SingleRobot,7.092625618,1.564253052,1.493107544,0.114331776,0.191066218,-0.489499360,N21
A1,SingleRobotEnv:SingleRobot,7.305807352,1.596866943,1.496054443,0.093916344,0.177282031,-0.433596893,N21
A1,SingleRobotEnv:SingleRobot,7.508526802,1.635783081,1.498247314,0.073408013,0.155389123,-0.364770658,N21
A1,SingleRobotEnv:SingleRobot,7.686742544,1.655962524,1.499651489,0.049293028,0.118389941,-0.268721882,N21
A1,SingleRobotEnv:SingleRobot,7.913644791,1.678150391,1.500275024,0.020001795,0.131846609,-0.167079947,N21
A1,SingleRobotEnv:SingleRobot,8.087619305,1.700354614,1.500822876,0.013925812,0.122423377,-0.131979259,N21
A1,SingleRobotEnv:SingleRobot,8.304732084,1.724015625,1.500170776,0.013468548,0.097063511,-0.111210584,N21
A1,SingleRobotEnv:SingleRobot,8.487200499,1.736696167,1.500322876,0.008090185,0.069035182,-0.079966390,N21
A1,SingleRobotEnv:SingleRobot,8.704916239,1.754272095,1.500132446,0.004557524,0.104968608,-0.080061701,N21
A1,SingleRobotEnv:SingleRobot,8.908632994,1.763142944,1.499815552,0.005473073,0.105167796,-0.078559822,N21
A1,SingleRobotEnv:SingleRobot,9.090315104,1.772651855,1.499395020,0.005416504,0.093835077,-0.071269916,N21
A1,SingleRobotEnv:SingleRobot,9.309365273,1.775773560,1.499334473,0.003835048,0.085078534,-0.061739794,N21
A1,SingleRobotEnv:SingleRobot,9.528481483,1.789049438,1.498988770,0.002372570,0.076440273,-0.050436559,N21
A1,SingleRobotEnv:SingleRobot,9.731495857,1.798327026,1.499035889,0.001326743,0.061161029,-0.039452851,N21
A1,SingleRobotEnv:SingleRobot,9.895951271,1.805046509,1.499081055,0.000544971,0.000000000,0.000000000,N21
A1,SingleRobotEnv:SingleRobot,9.958193541,1.811997925,1.498844971,0.002563158,0.000000000,0.000000000,N21
A1,SingleRobotEnv:SingleRobot,10.159693003,1.814039673,1.498735474,0.004731947,0.000000000,0.000000000,N21
A1,SingleRobotEnv:SingleRobot,10.366612673,1.814078857,1.498710205,0.004881800,0.000000000,0.000000000,N21
A1,SingleRobotEnv:SingleRobot,10.550258160,1.814076538,1.498704346,0.004978059,0.000000000,0.000000000,N21
A1,SingleRobotEnv:SingleRobot,10.759042025,1.814072144,1.498723389,0.004578912,0.000000000,0.000000000,N21
