robot_id,node_id,ETA
A1,N00,0.0
A1,N10,5.653861045837402
A1,N20,9.901875019073486
A1,N21,15.474514961242676
A1,N22,22.227893114089966
A1,N12,26.60455560684204
A1,N02,30.88420534133911
A1,N01,35.413328647613525
A1,N00,35.668622970581055
A1,N10,35.880467653274536
A1,N20,36.11779999732971
A1,N21,36.31973648071289
A1,N22,36.53314256668091
A1,N12,36.717069149017334
A1,N02,36.8984534740448
A1,N01,37.087032318115234
A1,N00,37.272072553634644
A1,N10,37.45240044593811
A1,N20,37.610098361968994
A1,N21,37.76999354362488
A1,N22,37.92858099937439
A1,N12,38.09324812889099
A1,N02,38.250834941864014
A1,N01,38.52121067047119
A1,N00,38.65975522994995
A1,N10,38.861246824264526
A1,N20,39.055330753326416
A1,N21,39.27555847167969
A1,N22,39.459152698516846
A1,N12,39.6819806098938
A1,N02,39.85842156410217
A1,N01,40.07076716423035
A1,N00,40.29273748397827
A1,N10,40.47137522697449
A1,N20,40.679532051086426
A1,N21,40.88417887687683
