robot_id,schedule_id,t,x,y,theta,v,w,target_node_id
A1,SingleRobotEnv:SingleRobot,0.265229464,0.096301857,1.506391968,0.015492618,0.000000000,0.000000000,N11
A1,SingleRobotEnv:SingleRobot,0.505327463,0.096299591,1.506391357,0.015513661,0.000000000,0.000000000,N11
A1,SingleRobotEnv:SingleRobot,0.747333288,0.096291466,1.506402466,0.015317738,0.400000000,-0.222463087,N11
A1,SingleRobotEnv:SingleRobot,0.987137318,0.096291466,1.506402466,0.015317738,0.400000000,-0.222684615,N11
A1,SingleRobotEnv:SingleRobot,1.225351095,0.096291466,1.506402466,0.015317738,0.400000000,-0.222707594,N11
A1,SingleRobotEnv:SingleRobot,1.458598375,0.096290703,1.506389160,0.015353771,0.400000000,-0.222734901,N11
A1,SingleRobotEnv:SingleRobot,1.696902514,0.096290703,1.506389160,0.015353771,0.400000000,-0.222737733,N11
A1,SingleRobotEnv:SingleRobot,1.986676216,0.096297165,1.506390503,0.015332028,0.400000000,-0.222665321,N11
A1,SingleRobotEnv:SingleRobot,2.273348808,0.096296410,1.506391113,0.015377285,0.400000000,-0.222842314,N11
A1,SingleRobotEnv:SingleRobot,2.523401976,0.143543716,1.505696899,0.007358604,0.395021759,-0.190959822,N11
A1,SingleRobotEnv:SingleRobot,2.740878582,0.206773956,1.504382080,-0.024575679,0.370561075,-0.053797463,N11
A1,SingleRobotEnv:SingleRobot,2.986259699,0.273018677,1.499011597,-0.064350692,0.364418032,0.165376695,N11
A1,SingleRobotEnv:SingleRobot,3.218920708,0.321878204,1.495225830,-0.093525149,0.366841064,0.337008185,N11
A1,SingleRobotEnv:SingleRobot,3.401902199,0.374295227,1.487868896,-0.123027979,0.345377528,0.532405113,N11
A1,SingleRobotEnv:SingleRobot,3.612912416,0.410508942,1.482974731,-0.137279699,0.349692723,0.651889508,N11
A1,SingleRobotEnv:SingleRobot,3.814009905,0.453836304,1.474265381,-0.159795529,0.333867435,0.826443920,N11
A1,SingleRobotEnv:SingleRobot,4.040122509,0.495536011,1.465233765,-0.150663883,0.340614596,0.890086403,N11
A1,SingleRobotEnv:SingleRobot,4.258943081,0.543032410,1.456226807,-0.146997241,0.321167447,0.960353691,N11
A1,SingleRobotEnv:SingleRobot,4.478300571,0.596442444,1.447388306,-0.129775504,0.334480428,0.984082343,N11
A1,SingleRobotEnv:SingleRobot,4.815789700,0.651799316,1.438468384,-0.101008945,0.356199556,0.962970759,N11
A1,SingleRobotEnv:SingleRobot,5.139357090,0.722676086,1.429316650,-0.041107059,0.380660277,0.823177045,N11
A1,SingleRobotEnv:SingleRobot,5.364663124,0.789788025,1.424798706,-0.019226315,0.341804167,0.764586979,N11
A1,SingleRobotEnv:SingleRobot,5.625392675,0.846639954,1.424034790,0.015203978,0.365577028,0.637307538,N11
A1,SingleRobotEnv:SingleRobot,5.883456230,0.899260620,1.420780762,0.062739882,0.395611945,0.471588931,N11
A1,SingleRobotEnv:SingleRobot,6.170512676,0.971296265,1.422804443,0.117076974,0.399999996,0.222338461,N11
A1,SingleRobotEnv:SingleRobot,6.438979149,1.059764038,1.432463501,0.124783873,0.399999994,0.080730015,N21
A1,SingleRobotEnv:SingleRobot,6.719602346,1.121611694,1.437474243,0.120359354,0.400000000,0.032151420,N21
A1,SingleRobotEnv:SingleRobot,6.973228931,1.195576294,1.444591309,0.124816256,0.399999970,-0.048993309,N21
A1,SingleRobotEnv:SingleRobot,7.185384274,1.259138550,1.451501221,0.124253869,0.352294619,-0.111606970,N21
A1,SingleRobotEnv:SingleRobot,7.369474411,1.314169189,1.456373047,0.117555191,0.341855587,-0.133847091,N21
A1,SingleRobotEnv:SingleRobot,7.545599222,1.370939209,1.462188721,0.096265271,0.326442935,-0.105400090,N21
A1,SingleRobotEnv:SingleRobot,7.727718115,1.430503174,1.466727783,0.070953510,0.247551714,-0.061466619,N21
A1,SingleRobotEnv:SingleRobot,7.933657408,1.478032349,1.469176880,0.052556369,0.237167336,-0.008023625,N21
A1,SingleRobotEnv:SingleRobot,8.152679682,1.515364868,1.469455933,0.046023769,0.230551703,0.020523160,N21
A1,SingleRobotEnv:SingleRobot,8.366826057,1.551509155,1.470146606,0.038618897,0.213600979,0.041081494,N21
A1,SingleRobotEnv:SingleRobot,8.521919966,1.591103516,1.470742432,0.030134337,0.147763502,0.036399410,N21
A1,SingleRobotEnv:SingleRobot,8.729939699,1.618048706,1.470837402,0.035608921,0.153879817,0.026027878,N21
A1,SingleRobotEnv:SingleRobot,8.942510128,1.653228027,1.471681519,0.027748653,0.124691661,0.027299508,N21
A1,SingleRobotEnv:SingleRobot,9.162473202,1.678590820,1.472118774,0.017028533,0.135689753,0.071108467,N21
A1,SingleRobotEnv:SingleRobot,9.323292255,1.694370483,1.471971802,0.012351061,0.130365896,0.089561223,N21
A1,SingleRobotEnv:SingleRobot,9.539640188,1.710555786,1.471526978,0.006868814,0.121230057,0.106692515,N21
A1,SingleRobotEnv:SingleRobot,9.753302097,1.728784790,1.470451782,0.006380055,0.090511667,0.090818230,N21
A1,SingleRobotEnv:SingleRobot,9.935793638,1.745354004,1.469895386,0.002075829,0.054106120,0.073909999,N21
A1,SingleRobotEnv:SingleRobot,10.172485352,1.762785156,1.469471558,-0.001359526,0.087273613,0.122613978,N21
A1,SingleRobotEnv:SingleRobot,10.329988956,1.772837769,1.469441162,-0.002537106,0.086793395,0.126748508,N21
A1,SingleRobotEnv:SingleRobot,10.552687168,1.781737061,1.469173096,0.001126785,0.083155538,0.112259948,N21
A1,SingleRobotEnv:SingleRobot,10.750250816,1.788826782,1.468875732,0.003868327,0.077687061,0.095762892,N21
A1,SingleRobotEnv:SingleRobot,11.008659124,1.799969360,1.468583130,0.010312206,0.060163354,0.053126785,N21
A1,SingleRobotEnv:SingleRobot,11.238827229,1.808924805,1.468322754,0.021498364,0.000000000,0.000000000,N21
A1,SingleRobotEnv:SingleRobot,11.265836239,1.815027344,1.468318604,0.031914302,0.000000000,0.000000000,N21
A1,SingleRobotEnv:SingleRobot,11.388000727,1.816340820,1.468341309,0.033565039,0.000000000,0.000000000,N21
A1,SingleRobotEnv:SingleRobot,11.598483086,1.816241699,1.468273437,0.033537301,0.000000000,0.000000000,N21
A1,SingleRobotEnv:SingleRobot,11.787988424,1.816200562,1.468261841,0.033568197,0.000000000,0.000000000,N21
A1,SingleRobotEnv:SingleRobot,11.998007298,1.816206665,1.468284180,0.033601859,0.000000000,0.000000000,N21
A1,SingleRobotEnv:SingleRobot,12.203682899,1.816196899,1.468307617,0.033495753,0.000000000,0.000000000,N21
A1,SingleRobotEnv:SingleRobot,12.387564659,1.816201294,1.468292603,0.033605671,0.000000000,0.000000000,N21
A1,SingleRobotEnv:SingleRobot,12.598239422,1.816196899,1.468304321,0.033436964,0.000000000,0.000000000,N21
